Image,Blade Range,Total,Update Date,Image URL,Released Year,Model #,Brand,Type,Bevel,Slide,Blade Diameter,Watt,RPM,Power Supply,Soft Start,Laser,Others,Key Innovation/Significance,REF URL,Price,Price Range
,Ø222~267mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Bosch 4410L,Bosch,1.Benchtop,Dual,Rail,254,1800,4800,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/444211/Bosch-4410l.html,,
,Ø279~333mm,"Dual
Rail
Corded
Soft Start
Laser
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Bosch 5412L,Bosch,1.Benchtop,Dual,Rail,305,1800,3800,Corded,Soft Start,Laser,E Brake,good,https://www.manualslib.com/manual/407949/Bosch-5412l.html,,
,Ø222~267mm,"Single
Rail
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Bosch 3915,Bosch,1.Benchtop,Single,Rail,254,1495,4700,Corded,,-,,good,https://www.manualslib.com/manual/444203/Bosch-3915.html,,
,Ø279~333mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Bosch 3912,Bosch,1.Benchtop,Single,Compound,305,1800,4300,Corded,,-,,good,https://www.manualslib.com/manual/969623/Bosch-3912.html,,
,Ø279~333mm,"Single
Compound
Corded
Dual laser",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,36-255L,Delta,1.Benchtop,Single,Compound,305,1800,3500,Corded,,Dual laser,,good,https://www.manualslib.com/manual/40893/Delta-36-255l.html,,
,Ø279~333mm,"Dual
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,36-412,Delta,1.Benchtop,Dual,Compound,305,1800,3500,Corded,,-,,good,https://www.manualslib.com/manual/40899/Delta-36-412.html,,
,Ø222~267mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,MS250,Delta,1.Benchtop,Single,Compound,254,1560,5200,Corded,,-,,good,https://www.manualslib.com/products/Delta-Shopmaster-Ms250-259160.html,,
,Ø279~333mm,"Dual
Rail
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,DeWalt DW718,DeWalt,1.Benchtop,Dual,Rail,305,,3600,Corded,,-,E Brake,good,https://www.manualslib.com/manual/38073/Dewalt-Dw718.html,,
,Ø279~333mm,"Dual
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,DeWalt DW716,DeWalt,1.Benchtop,Dual,Compound,305,,3800,Corded,,-,,good,https://www.dewalt.com/product/dw716/12-305mm-double-bevel-compound-miter-saw,,
,Ø279~333mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,DeWalt DW715,DeWalt,1.Benchtop,Single,Compound,305,,4000,Corded,,-,,good,https://thepowertoolwebsite.com/dewalt-dw715-review,,
,Ø191~222mm,"Dual
Rail
Corded
-
E Brake",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,DeWalt DW712,DeWalt,1.Benchtop,Dual,Rail,216,,5400,Corded,,-,E Brake,good,https://www.manualslib.com/manual/37929/Dewalt-Dw711.html,,
,Ø222~267mm,"Single
Compound
Corded
Soft Start
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,KGS 250/2,Einhell,1.Benchtop,Single,Compound,250,1800,4800,Corded,Soft Start,-,,good,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQElWav70Swq8FY3aq5-gpF7LYWv8VV-r0gIHbzeX9-efzJw5r5cwO9X8ZolZlc6hPCk0J5ZebxA-UM5lKYyZWgy1SoxTJgoGWfUheQnF_TUmEB35fljCsSh4yY9gKsqpKYHzCRlgIkXI8_u2XQ=,,
,Ø191~222mm,"Single
Compound
Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,KGS 210 Profi,Einhell,1.Benchtop,Single,Compound,210,1200,5000,Corded,,-,,good,https://www.manua.ls/einhell/kgs-210-profi/manual,,
,,"Corded
-",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Bavaria Series,Einhell,1.Benchtop,,,,,,Corded,,-,,good,"https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQG1Bbcyg1F_d0Xfvb8HTbtBAO1FCplyMJpzuhbq2O9MvGR99yjyx3f3VhZGADPNV4AHKqhk44Di5e7diT3fs4Hzi4mz0VCl3sE_BdX-Lf8rXMxZxibx_ttk40YQ0i6BDVdZjzg7WE7sqit5OwTvb-GbJDGT4a0O7CPorBklU-UXAbCY2I8=,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFPssaaxGtcroDgksXWNNu0g0bSP7ZugQY-5oIbEkhCpdYnw03j1RiO4nR8iNx57tV0ZsK8CvYsKZF1jSidMCGn7Z13Y7IxeMyBxRE1-Mz6CYtXQ45-xasBjf8k-7wY-8hU7Uz6mstPynTS9T8XxPonwzXdWdutVBquxhco5NZzYqAu1BCV",,
,Ø191~222mm,"No
Compound
Corded
Soft Start
Laser
SYM Fence",2026-02-01 Corrected (4R),https://media.cdn.bauhaus/m/368906/15.jpg,2007,Festool SYM 70,Festool,1.Benchtop,No,Compound,216,1000,3500,Corded,Soft Start,Laser,SYM Fence,good,https://www.festool.com/products/semi-stationary-products/sliding-compound-mitre-saws/577085---symc-70-eb-basic,,
