Year,Safety,Sliding,Ergonomics,Cutting,Visual,Durability,Dust,Electronic,Portable
2005,,,"【Bosch】 〖4410L〗 «Upfront Controls (前置控制): 人體工學突破。將斜切（Bevel）鎖定和調整控制移至機身前方，使用者無需再伸手繞到機器後方進行調整，大幅減少背部勞損並提升效率。,»","【DeWalt】 〖DW706〗 «12"" Non-Slide Crown Capacity: 切削規格。在滑動鋸普及前，設立了 12 吋非滑動鋸切削「嵌套式線板（Nested Crown）」的標準，強調垂直切削能力。»",【Bosch】 〖4410L〗 «雷射改良期: Arbor-Mounted Laser (主軸雷射)。Bosch 試圖解決雷射不準的問題，將雷射模組整合在鋸片墊片（Washer）上，而非外部護罩，確保雷射跟隨鋸片移動。»,【Makita】 〖LS1040〗 «Direct Drive (直驅馬達): 傳動耐久度。推廣不使用皮帶的直驅馬達，消除了皮帶老化斷裂或打滑的維護問題，提供更穩定的扭力傳輸。»<br>【Delta】 〖36-422L〗 «🚨 召回：馬達座斷裂: 鑄造瑕疵。因鑄鐵臂/馬達座在應力下易破裂，導致馬達脫落。此事件重創 Delta，顯示基礎結構材質耐久度的重要性。»,【Bosch】 〖4410L〗 «Basic Dust Bag (基礎集塵袋): 早期標準。當時的集塵設計主要依賴被動式的集塵袋，效率極低，僅能收集部分木屑，大部分粉塵仍散逸在空氣中。»,"【MetaboHPT - Hitachi】 〖C10FSH〗 «軟啟動引入 (高階): 精度與舒適度。Hitachi 在其 ""Alien Head"" 設計中導入軟啟動，防止馬達啟動時的瞬間扭力導致機頭偏移，確保精密切割，這在當時是高階機的象徵。»",
2006,,【MetaboHPT - Hitachi】 〖C12RSH〗 «Rail-Forward: 首創突破。推出固定導軌系統（Fixed-Rail），機頭沿導軌滑動而非導軌向後延伸，實現靠牆擺放。»,,"【MetaboHPT - Hitachi】 〖C12RSH〗 «12"" Fixed-Rail Sliding: 機構設計。推出固定導軌（Fixed-Rail）系統，讓 12 吋長滑動鋸也能達成零後距，改變了對於「大規格=大空間」的機構限制。»",【MetaboHPT - Hitachi】 〖C12RSH〗 «雷射普及化: 在其創新的零靠牆機型上配備雷射標記系統，確立了高階鋸必須有視覺輔助的標準。»,【DeWalt】 〖DW713〗/〖DW715〗 «Stainless Steel Detent Plate (不鏽鋼定位板): 精度耐久度。DeWalt 開始將「可更換式不鏽鋼定位板」下放至全系列。相比傳統鑄鋁底座直接刻度（易磨損變鬆），鋼板能承受數萬次操作而不失準。»<br>【Ridgid】 〖MS1290〗 «⚠️ 瑕疵：手把崩解: 材質老化。早期橡膠包覆材質（Over-mold）配方問題，導致手把在長期使用後會分解、發黏或碎裂。»,,,
2007,"【產業全面重新設計】 〖-〗 «**UL 987 (第 7 版)**強制 Modular Blade Guard (模組化護罩): 這是現代鋸台設計的分水嶺。新規範要求護罩必須由頂部和兩側組成（非單片式），且更易拆裝。DeWalt, Bosch, Makita 等大廠因此在 2008-2010 年間推出了全新改款機型。»",,"【Milwaukee】 〖6955-20〗 «Digital Readout (數位角度顯示): 精準度可視化。引入數位螢幕顯示角度（精確到 0.1°），並配備整合式工作燈，試圖取代傳統難以辨識的刻度盤。,»",,【Milwaukee】 〖6955-20〗 «照明嘗試: 引入雙工作燈（Dual Jobsite Lights）照亮切割區，雖然還不是陰影線，但開始強調「照明」優於單純的雷射線。»,,,"【Milwaukee】 〖6955-20〗 «恆定動力控制: 電子控制整合。引入 ""Constant Power Technology"" (恆定動力)，這通常包含軟啟動與負載下的轉速維持。這是早期將複雜電路板整合進斜切鋸的代表作。»",
2008,,"【Festool】 〖Kapex KS 120〗 «Rail-Forward: 高階確立。推出 ""Rail-Forward"" 設計，結合鎂合金底座與雙雷射，成為精細木工的標竿。»","【Festool】 〖Kapex KS 120〗 «Rail-Forward (前置導軌): 人體工學與空間結合。將導軌設計在前方並向兩側展開，結合了鎂合金底座減輕重量，並配備雙雷射線，被視為當時最符合人體工學的頂級鋸。,»",,【DeWalt】 〖DW717〗 «技術轉捩點: XPS 系統問世 (LED Shadow Line)。DeWalt 首次推出 XPS 技術（Crosscut Positioning System），利用 LED 燈投射鋸片陰影。優勢：無需校準、顯示真實鋸路寬度。»<br>【Festool】 〖Kapex KS 120〗 «雷射巔峰: 推出雙雷射線（Dual-line Laser），精確標示鋸路與切割邊緣。這是雷射技術在精細木工中的巔峰應用。»,【Festool】 〖Kapex KS 120〗 «Magnesium Base (鎂合金底座): 輕量化與剛性平衡。使用鎂合金壓鑄，在減輕重量的同時維持了比鋁合金更高的結構剛性與抗衝擊能力，設定了高階耐久標準。»,【Festool】 〖Kapex KS 120〗 «High Efficiency Extraction (高效集塵): 行業標竿。Festool 引入了與集塵機（CT Extractor）系統整合的設計，透過優化的橡膠導流罩，宣稱可達到 91% 以上的集塵率。這迫使其他廠商開始重視「集塵效率」作為賣點。»,【Makita】 〖LS1016L〗 «機械與電子的過渡: 雖然主打 DXT 機械結構，但其直驅馬達開始普遍標配電子煞車（透過電阻或反向電流），以符合日益嚴格的職場安全要求（要求鋸片在釋放開關後快速停止）。»,"【Festool】 〖Kapex KS 120〗 «便攜設計: 採用「導軌前置（Rail-Forward）」設計與鎂合金底座，大幅減輕重量並節省空間，確立了高階便攜鋸的標準,。»<br>【MetaboHPT - Hitachi】 〖C8FSE〗 «便攜設計: 推出僅重 31 磅（約 14 公斤）的 8.5 吋滑動鋸，專為需要頻繁上下樓層的裝修工設計,。»<br>【Festool】 〖Kapex (KS 88/120)〗 «召回事件: 在歐盟/澳洲市場發生火災隱患召回。因電壓波動可能導致變阻器過熱,,。»"
2009,,,,"【Makita】 〖LS1016L〗 «DXT (Deep & eXact Cutting): 規格與機構革命。利用 3 級減速齒輪箱和 4 導軌設計，讓 10 吋鋸片 達成媲美傳統 12 吋鋸片的垂直切削能力（可切 6-5/8"" 線板）。打破了「鋸片越大能力越強」的迷思。»",【DeWalt】 〖DWS7085〗 «配件化推廣: DeWalt 推出 XPS 改裝套件，允許舊款鋸台升級為陰影線系統，加速了市場對陰影線的接受度。»,,,,
2010,,"【Bosch】 〖GCM12SD〗 «機械臂: 機械臂革命。推出 ""Axial-Glide™"" 專利技術，使用多連桿機械臂取代傳統導軌，徹底消除後方空間需求，被稱為「十年創新之作」。»",,"【Bosch】 〖GCM12SD〗 «Axial-Glide™ System: 機構設計。完全捨棄傳統導軌，改用多連桿機械臂（Articulating Arm）。機構複雜度大幅提升，旨在消除導軌佔用空間並提供恆定的切削手感。»<br>【Makita】 〖LS1216L〗 «8"" Crown Capacity: 切削規格。將 DXT 技術應用於 12 吋機型，創造了當時業界最大的 8 吋嵌套式線板垂直切削能力，定義了高階「大容量」標準。»",,,,,
2011,,,"【Metabo】 〖KGS M 系列〗 «Integrated Carry Handle (整合提把): 移動性優化。針對歐洲市場設計單手可提的整合式手把，定義了「移動式（Mobile）」切斷機的人體工學標準。,»","【Makita】 〖LXSL01〗 «7-1/4"" Cordless Slide: 鋸片尺寸微型化。隨著無線化（LXT 18V）起步，廠商開始推廣 7-1/4 吋（190mm）鋸片規格用於專業滑動鋸，以換取續航力與便攜性。»",【DeWalt】 〖DWS780〗 «陰影線標準化: 旗艦標配。DeWalt 將 XPS 陰影線列為旗艦機 DWS780 的標準配備，不再是選配。這迫使競爭對手重新思考雷射的實用性。»,,【DeWalt】 〖DWS780〗 «Dust Scoop / 75% Efficiency (集塵鏟設計): 結構改良。為了改善前代 DW718 被詬病的集塵能力，DWS780 在鋸片後方設計了一個改良的「集塵鏟（Dust Scoop）」導管，大幅提升了未接吸塵器時的被動集塵效率（宣稱達 75%）。»,,"【Metabo】 〖KGS M 系列〗 «便攜設計: 推出「移動級（M-Class）」鋸台，特點是整合式中心提把，單手即可搬運，並優化了重量平衡,。»<br>【DeWalt】 〖DWS780〗 «便攜設計: 雖然是重型鋸，但整合了 XPS 陰影線燈（無需校準，抗震動），解決了雷射在搬運中易失準的問題，成為工地標準,。»"
2012,,,,,【MetaboHPT - Hitachi】 〖C12LDH〗 «數位化嘗試: 嘗試結合雷射與 LCD 數位角度顯示器，試圖以「數位化」對抗「光學陰影」。»,,,,"【Makita】 〖LXSL01〗 «無線突破: 推出 7.5 吋 18V LXT 無線滑動鋸，標誌著專業級無線便攜鋸的開端，適合輕型裝修,。»"
2013,,【Bosch】 〖CM10GD〗 «機械臂: 技術下放至 10 吋機型，證明機械臂設計可縮小化。»,,,,【Makita】 〖〗/〖Ridgid〗 «Brushless Motor (無刷馬達): 馬達壽命革命。隨著無線工具興起，無刷馬達消除了碳刷磨損更換的需求，大幅延長了馬達本體的運轉壽命與耐熱性。»,,,"【Kobalt】 〖SM1850LW〗 «便攜設計: 推出 7.25 吋超輕量滑動鋸（約 13.6 公斤），針對地板鋪設工人的移動需求,。»<br>【Kobalt】 〖-〗 «瑕疵報告: 2013-2016年間，SM2507LW 等型號傳出護罩彈簧疲乏問題，導致切割後護罩無法回彈覆蓋刀片,,。»"
2014,【Kobalt】 〖瑕疵 (護罩彈簧)〗 «**IEC 62841-3-9 (第 1 版)**發布國際協調標準: 國際電工委員會發布針對斜切鋸的專用標準，準備取代 UL 987。同年 Kobalt 發生護罩彈簧疲乏導致無法回彈的瑕疵，違反了護罩必須「自動關閉」的基本安規原則。»,【MetaboHPT - Hitachi】 〖C12RSH2〗 «Rail-Forward: 改良版推出。修正了第一代 C12RSH 體積笨重與滑動不順的問題，保留零靠牆特性。»,,,【Ridgid】 〖R4113〗 «陣營轉移: 放棄雷射。Ridgid 在新款 10 吋鋸上導入 LED 切割線指示器，成為繼 DeWalt 後主要轉向陰影線的品牌。»,【Kobalt】 〖-〗 «Guard Spring Weakness (護罩彈簧疲乏): ⚠️ 瑕疵事件。SM2507LW 等型號因護罩回彈彈簧材質疲乏，導致長期使用後護罩無法自動關閉，造成安全隱患。»,,,
