Year,Title,Market_Notes,Tech_Notes,Brand,Market Title,Tech Title
2005,Bosch_2005,2005 年，角度切斷機市場主要集中於改良 10 吋滑動式複合角度切斷機，這類機型在切割能力與攜帶性之間取得了平衡，適合裝修木工使用。Bosch 於 2005 年 4 月推出了 **4410L**，這是一款衝擊市場的 10 吋雙斜切滑動切斷機，旨在與其他高階滑動機型直接競爭。該型號強調「前置控制 (Upfront Controls)」與精準度，鎖定需要處理複雜切割且不希望頻繁伸手至機器後方調整的裝修木工。,"*   **前置控制 (Upfront Controls)**：4410L 將所有斜切控制移至機器前方，消除了伸手至後方解鎖或設定斜切角度的需求。這是人體工學上的重大改進。
*   **主軸安裝雷射 (Arbor-Mounted Laser)**：不同於安裝在護罩上的雷射，Bosch 的雷射整合於鋸片墊圈 (Arbor Laser) 中，確保無論鋸片尺寸或護罩位置如何，標線始終保持真實準確。
*   **多位置把手 (Multi-Position Handle)**：把手可旋轉至四個不同位置，讓操作者在各種切割角度下都能保持舒適。",Bosch,Bosch revolutionized the premium slider market by launching the 4410L with ergonomic Upfront Controls.,Centralized bevel controls and arbor-mounted lasers improved jobsite safety and cutting precision.
2005,DeWalt_2005,2005 年，DeWalt 是專業工地斜斷鋸市場的主導力量，其黃黑配色成為「工地鋸」的代名詞。他們的策略圍繞著高耐用的有線鋸和精確的定位點系統。這是 **DW705**（長期以來被公認為最好的 12 吋非滑動鋸之一）的時代，也是向 **DW712** 等更先進滑動型號過渡的時期。重點放在安全性和鋸片更換的清晰度上，這從 2005 年中期對產品線進行的重大技術更新中可以看出。,"*   **精密定位板**: DeWalt 的不銹鋼斜切定位板具有 11 個正向停止點，是精確度和耐用性的行業基準。
*   **改進的鋸片護罩/樞軸**: 2005 年中期，針對鋸片更換和樞軸板安全性進行了重大技術改進，涵蓋了幾乎整個專業目錄。",DeWalt,DeWalt dominated the professional jobsite market with highly durable corded saws and a focus on precise detent systems.,Implementation of stainless steel detent plates and revised blade guard pivots set new industry benchmarks for accuracy and safety.
2005,Delta_2005,"2005 年對 Delta Machinery 的圓鋸機部門來說是充滿挑戰的一年。品牌雖推出了受矚目的 **36-412** 和 **36-422L** 等 12 吋圓鋸機系列，但到了 2005 年，這些型號卻因結構缺陷而停產，並啟動了大規模的自願更換計畫。設計上的缺陷導致鑄鐵懸臂在繁忙的工地使用下可能會在馬達安裝座附近龜裂。Delta 罕見地提供了將這些鋸機更換為 DeWalt DWS780 的選項，此舉突顯了結構安全問題的嚴重性。在此期間，Delta 的圓鋸機市場佔有率主要依靠入門級的 **ShopMaster** 系列 (MS275, MS265) 來維持。","*   **自願更換計畫**: 2005 年最具代表性的「特點」是產品召回的後勤行動，這在隨後幾年嚴重損害了該品牌在高端固定式圓鋸機領域的聲譽。
*   **垂直馬達配置**: 用於運氣不佳的 36-412/422 系列，旨在提供鋸片右側更好的視野，此設計概念後來在 Cruzer 系列中得到了改良與延續。",Delta,Delta faced a critical year marked by structural design flaws and a massive voluntary exchange program for their 12-inch saws.,A major product recall and the pivot to vertical motor configurations defined the brand's technical challenges.
2005,Einhell_2005,2005 年，Einhell 已穩固確立為「高性價比」(Value-for-Money) 品牌，專注於 DIY 和家庭愛好者市場。他們的圓鋸機策略集中在堅固的插電型號上，以專業品牌（如 Bosch 或 Makita）的一小部分成本提供基本的橫切和斜切能力。**TC-MS 2112** 是核心產品，以其便攜性和簡單性聞名，成為歐洲家庭裝修項目的最愛。,"*   **鋁壓鑄工作台**: Einhell 使用高品質鋁壓鑄作為底座和角度刻度，以確保耐用性同時保持工具輕便。
*   **硬質合金鋸片**: 標準配備專業級硬質合金鋸片 (24T 或 48T)，開箱即提供乾淨的切割。",Einhell,Einhell solidified its position as a high-value DIY brand by focusing on robust and affordable corded miter saws for home renovation.,The use of aluminum die-cast worktables and standard carbide-tipped blades provided professional-level features at a budget price.
2005,Festool_2005,2005 年，Festool 在圓鋸機類別中主要以其獨特的「對稱」(Symmetric) 鋸機聞名，專為精細的內部裝飾和線板設計。**SYM 70** 是這一理念的基石，專注於使用專門的斜角系統將角度直接從牆壁轉移到鋸機上。當其他品牌專注於原始動力和容量時，Festool 優先考慮精度和集塵，迎合高端櫥櫃和裝飾專業人士的需求。,"*   **對稱系統**: 獨特的靠山系統，允許同時將兩個靠山調整到準確的平分角，消除了複雜裝飾項目中手動計算的需要。
*   **卓越的集塵**: 標準化 27/36mm 軟管連接，在成品室內實現近 100% 的粉塵捕獲。",Festool,Festool targeted high-end cabinetry professionals with specialized symmetric saws designed for perfect angle transfers in interior trim.,The Symmetric fence system and superior dust extraction provided unmatched precision for complex molding projects.
2005,Global_2005,"### 🌍 全球局勢
### 🌍 全球格局 (Global Landscape)
2005 年，專業歪切鋸市場呈現出明顯的分層，分別為「工地精確度 (Jobsite Precision)」與「工作坊工藝 (Workshop Finesse)」。產業正處於從 10 吋 Non-Slider 到高容量 12 吋 Sliding Dual-Bevel 鋸的大規模轉型期。

**客觀分析 (Objective Analysis)**：
*   **Slider 之戰**：Bosch 的 **4410L** (2005 年 4 月) 直接挑戰了 Makita 在 10 吋 Sliding 類別的統治地位，引入了 「Upfront Controls」 來解決從鋸子後方操作的人體工學痛點。
*   **Cordless 的起源**：Makita 在 2005 年 2 月推出了 **18V LXT 平台**，埋下了未來的種子。雖然當時尚未能驅動重型鋸子，但這標誌著插電霸權終結的開始。
*   **召回危機**：Delta 遭受了重大的戰略挫敗，**36-422L** 的馬達支架故障導致大規模召回，將市場份額拱手讓給了 DeWalt 的 12 吋 Non-Slider 模型。

**綜合策略與推測 (Comparative Strategy & Speculation)**：
*   **Bosch vs. DeWalt**：Bosch 押注於「人體工學 (Ergonomics)」(Upfront Controls) 作為差異化特點，預見到裝修木工已經厭倦了「與工具對抗」。相比之下，DeWalt 則透過 DW718/716 系列加強了「耐用性 (Robustness)」與「切割容量 (Capacity)」，目標客戶是那些在高風險工地中優先考慮工具生存能力而非細微舒適度的粗裝與結構工。
*   **「零間距 (Zero-Clearance)」競賽**：MetaboHPT (Hitachi) 當時正悄悄開發 **C12RSH** (2006 年上市)，但在 2005 年，他們以 **C10FSH** 守住陣地。其策略是「精巧精確 (Compact Precision)」，吸引在狹小空間工作的城市翻修工，這一利基市場後來也被 Festool 以 Kapex 作為目標。
*   **DIY 浪潮**：Einhell 和 Scheppach (Woodster) 等品牌積極進入「CP 值 (Value-for-Money)」領域，利用全球製造優勢，以極具競爭力的價格 (例如低於 €200) 提供 Sliding Compound 鋸，這是傳統專業品牌無法觸及的價位，有效地讓一般愛好者也能負擔得起 Slider 格式。

---","### 🔧 技術創新與功能
### 🔧 人體工學與精確度 (Ergonomics & Precision)
*   **Upfront Controls (Bosch)**：將傾斜鎖定移至前方。*戰略目標*：縮短設定時間並減少手臂負擔，定位 Bosch 為「使用者體驗 (User Experience)」的領導者。
*   **數位歪切讀數 (Digital Miter Readouts) (Milwaukee/MetaboHPT)**：早期實驗性質的數位顯示器，旨在取代傳統的刻度規 (vernier scales)。
*   **Arbor-Mounted Lasers (Bosch)**：針對「雷射位移」問題的特定技術方案。透過將雷射安裝在馬達心 (Arbor) 墊片上，雷射線永遠不會偏離鋸片路徑。

### ⚠️ 安全與耐用性 (Safety & Durability)
*   **直接驅動馬達 (Direct Drive Motors) (Makita)**：持續精煉無皮帶馬達，以消除「皮帶打滑」並提高啟動時的扭力輸出。
*   **不鏽鋼擋塊板 (Stainless Steel Detent Plates) (DeWalt)**：從鋁鑄件轉向可更換的不鏽鋼板，確保在數千次頻繁操作後精確度不會下降。

### 🏭 製造與服務 (Manufacturing & Support)
*   **終身服務協議 (Lifetime Service Agreement) (Ridgid)**：這是一個商業模式上的創新。TTi/Ridgid 利用 LSA 來克服「賣場品牌」的負面標籤，並建立與承包商的信任。

---",Global,"The global miter saw market consolidated under major tool groups, focusing on high-torque corded motors and improved safety guard designs.",Standardization of ergonomic D-handle triggers and the widespread adoption of 15-amp motors defined the professional tool standards.
2005,Kobalt_2005,2005 年，Kobalt 主要被認為是 Lowe's Home Improvement 的自有品牌，定位為與 Home Depot 的 Ridgid 直接競爭。圓鋸機產品線處於早期階段，重點是以比 DeWalt 或 Makita 低得多的價格提供「承包商級」功能，如雙軌滑動和鋁製工作台。在此期間，Kobalt 鋸機通常由各種 OEM（包括 Rexon）製造，專注於高量 DIY 和住宅建設市場。,"*   **Lowe's 獨家分銷**: 主要創新是零售策略，確保每家 Lowe's 商店都有「專業級」自有品牌，提供即時櫃檯更換服務——這是後來更正式保固的早期先驅。
*   **標準雷射導引**: 早期在預算型 10 吋型號上實施電池供電的雷射導引，以吸引 DIY 消費者。",Kobalt,"Kobalt entered the DIY market as a Lowe's house brand, providing contractor-grade features at accessible price points.",Early implementation of battery-powered laser guides and retail-driven warranty strategies aimed to attract residential consumers.
2005,Makita_2005,2005 年是 Makita 的變革之年，標誌著 **18V 鋰離子 (LXT)** 電池平台在 2 月的全球首發。雖然斜斷鋸產品線仍由高性能有線型號（如 **LS1013** 和 **LS1214**）主導，但 LXT 的推出為隨後的無線革命奠定了技術基礎。Makita 專注於「直接驅動 (Direct Drive)」馬達技術，這消除了皮帶並提高了專業斜斷鋸的動力傳輸效率。,"*   **直接驅動馬達**: Makita 繼續改進其直接驅動系統（行業先驅），提供更穩定的動力並消除與皮帶相關的維護問題。
*   **LXT 平台發布**: 雖然尚未為全尺寸斜斷鋸供電，但 18V LXT 平台引入了星形保護電腦控制 (Star Protection Computer Controls™) 和快速充電技術，這後來成為標準。",Makita,"Makita introduced the 18V LXT Lithium-Ion platform, creating the foundation for future cordless miter saw innovation.",The focus on direct drive motor technology and the launch of the Star Protection communication system improved tool efficiency and control.
2005,Metabo_2005,2005 年，Metabo 與「德國工藝」劃上等號。KGS 系列斜斷鋸以其精密度和（選定型號上的）感應馬達而備受裝修木工推崇，這與美系/日系競爭對手較嘈雜的通用馬達鋸形成鮮明對比。,*   **感應馬達**: 提供更安靜、更持久的動力輸出。,Metabo,"Metabo maintained its German engineering reputation with the KGS series, emphasizing precision and the use of quiet induction motors.",German-engineered precision was maintained through the use of robust induction motors and stable frame designs.
2005,MetaboHPT_2005,2005 年 Hitachi (現 MetaboHPT) 在專業滑軌圓鋸機市場佔有重要地位。其核心產品 **C10FSH** 以高精準度與獨特的垂直手柄設計成為裝修木工的首選。,"*   **Vertical Handle Design**: MetaboHPT - Hitachi's iconic vertical handle with a vibration-reducing rubber grip became a hallmark of their ergonomic philosophy.
*   **Fine-Adjustment Knobs**: Unique knobs located at the front of the saw for micro-adjusting miter and bevel angles, a level of precision that few competitors offered at the time.",MetaboHPT,"MetaboHPT solidified its status among finish carpenters with the C10FSH, featuring high precision and unique vertical handles.",Iconic vertical handle ergonomics and fine-adjustment knobs allowed for micro-adjustments of miter and bevel angles.
